Column;Section;QuestionText
SOHowMuchTime;Stack Overflow;About how much time did you save? If you're not sure, please use your best estimate.
SOAccount;Stack Overflow;Do you have a Stack Overflow account?
SOPartFreq;Stack Overflow;How frequently would you say you participate in Q&A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions.
SOJobs;Stack Overflow;Have you ever used or visited Stack Overflow Jobs?
EntTeams;Stack Overflow;Have you ever used Stack Overflow for Enterprise or Stack Overflow for Teams?
SOComm;Stack Overflow;Do you consider yourself a member of the Stack Overflow community?
WelcomeChange;Stack Overflow;Compared to last year, how welcome do you feel on Stack Overflow?
SONewContent;Stack Overflow;Would you like to see any of the following on Stack Overflow? Check all that apply.
Age;Demographics;What is your age (in years)? If you prefer not to answer, you may leave this question blank.
Gender;Demographics;Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank.
Trans;Demographics;Do you identify as transgender?
Sexuality;Demographics;Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank.
Ethnicity;Demographics;Which of the following do you identify as? Please check all that apply. If you prefer not to answer, you may leave this question blank.
Dependents;Demographics;Do you have any dependents (e.g., children, elders, or others) that you care for?
SurveyLength;Demographics;How do you feel about the length of the survey this year?
SurveyEase;Demographics;How easy or difficult was this survey to complete?
